Patente,Hora,T_viaje,T_viaje_str,Velocidad
AB589EX,2019-10-03T07:17:49,118,0:01:58,45.76271186440678
AD514DM,2019-10-03T07:21:21,133,0:02:13,40.6015037593985
KJD382,2019-10-03T07:21:33,123,0:02:03,43.90243902439025
JGC717,2019-10-03T07:21:38,112,0:01:52,48.214285714285715
EDL699,2019-10-03T07:23:10,189,0:03:09,28.571428571428573
AA885KN,2019-10-03T07:23:31,118,0:01:58,45.76271186440678
ARP927,2019-10-03T07:23:45,144,0:02:24,37.5
KKH505,2019-10-03T07:25:36,145,0:02:25,37.24137931034483
PPW646,2019-10-03T07:25:38,142,0:02:22,38.028169014084504
NES243,2019-10-03T07:25:43,133,0:02:13,40.6015037593985
PKA927,2019-10-03T07:25:45,144,0:02:24,37.5
OFR861,2019-10-03T07:25:55,126,0:02:06,42.85714285714286
EIM811,2019-10-03T07:26:55,226,0:03:46,23.893805309734514
AB762XF,2019-10-03T07:26:56,192,0:03:12,28.125
IUY169,2019-10-03T07:27:20,131,0:02:11,41.221374045801525
AC715SO,2019-10-03T07:27:26,132,0:02:12,40.90909090909091
KYP963,2019-10-03T07:27:38,113,0:01:53,47.78761061946903
AB217GY,2019-10-03T07:29:30,129,0:02:09,41.860465116279066
NDN589,2019-10-03T07:29:43,149,0:02:29,36.241610738255034
OCK324,2019-10-03T07:33:38,133,0:02:13,40.6015037593985
AA734ZQ,2019-10-03T07:33:40,125,0:02:05,43.2
KAP945,2019-10-03T07:35:36,144,0:02:24,37.5
AD141OY,2019-10-03T07:35:45,144,0:02:24,37.5
PIB087,2019-10-03T07:35:47,136,0:02:16,39.705882352941174
KVE951,2019-10-03T07:35:49,137,0:02:17,39.416058394160586
PDB224,2019-10-03T07:36:51,181,0:03:01,29.83425414364641
AD380BH,2019-10-03T07:37:32,119,0:01:59,45.378151260504204
AB257CH,2019-10-03T07:37:41,152,0:02:32,35.526315789473685
JOY764,2019-10-03T07:37:44,150,0:02:30,36.0
PBK430,2019-10-03T07:37:46,136,0:02:16,39.705882352941174
AC374KN,2019-10-03T07:37:47,120,0:02:00,45.0
OZF994,2019-10-03T07:39:27,205,0:03:25,26.34146341463415
AC708RP,2019-10-03T07:39:46,138,0:02:18,39.130434782608695
AB422OA,2019-10-03T07:39:49,120,0:02:00,45.0
ITJ322,2019-10-03T07:39:52,138,0:02:18,39.130434782608695
KHZ566,2019-10-03T07:40:55,199,0:03:19,27.1356783919598
AC009MK,2019-10-03T07:40:59,187,0:03:07,28.877005347593585
AD799EH,2019-10-03T07:41:01,197,0:03:17,27.411167512690355
DEM986,2019-10-03T07:41:06,190,0:03:10,28.421052631578945
HND647,2019-10-03T07:41:41,134,0:02:14,40.298507462686565
